,title,link
154,15c indigo Clay plate proof single,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1980_2493_1594
155,15c Henry Clay plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-0_242263_263
156,15c Henry Clay plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-0_242263_45
157,15c Henry Clay plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-0_242263_1564
158,Document listing physical measurements for Sonny Liston and Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2011_56_3_5_001-000001
159,"""Brick Kilns,"" Clay Bluffs 1900 Miles above St. Louis",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.366_1
160,Training boxing gloves used and signed by Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2012_173_3ab_001
161,"Methodist Camp Meeting by Edward Williams Clay and Henry R. Robinson, 1836",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-RWS2016-08998
162,Clay Fire and Marine Insurance Company Fire Mark,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-AHB2006q06133
163,Clay Fire and Marine Insurance Company Fire Mark,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-AHB2006q06134
164,12c Henry Clay card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_5_4
165,15c Henry Clay card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_6_10
166,"Joseph the Prophet Addressing the Lamanites by Edward Williams Clay and Henry R. Robinson, 1844",https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAH-2003-25080
167,50c Joseph Clay Styles Blackburn plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-0_309126_322
168,10c single letter rate for 30-80 miles addressed by Henry Clay steamboat cover,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2010_2004_123a
169,Ticket for World Heavyweight Championship fight of Sonny Liston vs. Cassius Clay,https://ids.si.edu/ids/deliveryService?max_w=550&id=NMAAHC-2012_173_2_2_001
170,"The Three Domes, Clay Bluffs 15 Miles above the Mandan Village",https://ids.si.edu/ids/deliveryService?max_w=550&id=SAAM-1985.66.394_1
171,12c Henry Clay Justice Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_13_7
172,12c Henry Clay Agriculture Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_10_7
173,12c Henry Clay Navy Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_14_8
174,12c Henry Clay State Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_16_8
175,12c Henry Clay War Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_18_8a
176,12c Henry Clay Interior Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_12_7
177,12c Henry Clay Treasury Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-1998_2005_17_8
178,15c Henry Clay proof plate block of four,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2004_212
179,12c Henry Clay Justice Department card plate proof,https://ids.si.edu/ids/deliveryService?max_w=550&id=NPM-2005_2001_397
